120.52.22.96, AWS, GLOBAL,
185.75.243.29, Hosteroid(-), Tirana, ALB
31.171.155.171, Navicosoft(-), Tirana, ALB
143.14.172.211, Server Wala(-), Dubai, ARE
46.102.157.175, Alwyzon(Digital Realty VIE1-VIE2), Vienna, AT
lg-vie.fdcservers.net, FDCServers, Vienna, AT
193.57.33.130, Navicosoft(-), Melbourne, AUS
67.219.110.24, Vultr, Melbourne, AUS
au-mel.speedtest.linode.com, Linode (Akamai), Melbourne, AUS
bne-lg.binarylane.cloud, BinaryLane,  Brisbane, AUS
mel-lg.binarylane.cloud, BinaryLane, Melbourne, AUS
per-lg.binarylane.cloud, BinaryLane, Perth, AUS
103.126.137.120, Psychz Networks(-), Sydney, AUS
108.181.64.80, Psychz.net, Sydney, AUS
108.61.212.117, Vultr, Sydney, AUS
203.96.177.151, Shock Hosting(Equinix SY4), Sydney, AUS
209.38.29.55, LOOKING HOUSE(-), Sydney, AUS
lg.syd.hosthatch.com, HostHatch (Equinix SY4), Sydney, AUS
speedtest.sydney.linode.com, Linode (Akamai), Sydney, AUS
syd-lg.binarylane.cloud, BinaryLane, Sydney, AUS
syd.lg.v.ps, V.PS, Sydney, AUS
146.70.81.63, 1Gbits(-), Vienna, AUT
195.133.88.7, 4vps(InterXion), Vienna, AUT
2.59.22.221, BlackHOST(-), Vienna, AUT
212.69.167.70, Hosteroid(IBM ODC21), Vienna, AUT
45.91.94.146, HostHatch(Digital Realty VIE1-VIE2), Vienna, AUT
176.103.62.121, XServer(Telepoint Sofia Center), Sofia, BGR
185.162.10.193, EuroHoster(Telepoint Sofia Center), Sofia, BGR
185.68.93.57, CISHost(Telepoint), Sofia, BGR
79.124.7.8, Alphavps, Sofia, BGR
79.142.70.20, AltusHost(-), Sofia, BGR
87.120.37.39, VPSBG(SofiaDataCenter SDC1-2), Sofia, BGR
89.44.197.95, Gcore, Sofia, BGR
93.123.16.81, OHOST.BG(Telepoint Sofia East), Sofia, BGR
185.66.68.100, Support.by(Support.by), Minsk, BLR
191.96.156.42, Hosting Now BR(Hosting Now - CWB1), Curitiba, BRA
108.181.69.242, Psychz.net, Sao Paulo, BRA
108.181.69.248, Psychz Networks(-), Sao Paulo, BRA
157.254.55.139, Server Wala(-), Sao Paulo, BRA
216.238.98.118, Vultr, Sao Paulo, BRA
speedtest.sao-paulo.linode.com, Linode (Akamai), São Paulo, BRA
167.114.28.57, SakuraServer(-), Beauharnois, CAN
198.27.110.93, ThomasHost(-), Beauharnois, CAN
